first_name,last_name,email,phone_number,company_name,job_title,lead_source,lead_status
Amy,Liu,ashleymiller@example.com,352.951.1324,,,Referral,Contacted
Connor,Hardin,guynash@example.com,(866)377-4542x40620,,"Psychologist, sport and exercise",Website,Lost
Mike,Hicks,millervictor@example.net,2103157147,Macias-Ingram,,Social Media,New
Wendy,Lee,ronald29@example.net,+1-891-817-5312x95027,Pearson and Sons,"Surveyor, building",Social Media,New
Alan,Williams,mbradford@example.com,6382046751,White-King,,Referral,New
Jerome,Walker,david01@example.com,295-637-8484x252,,,Referral,Lost
Maria,Cruz,robertsalicia@example.net,738-472-9113x44733,,,Referral,Contacted
Larry,Reed,frances13@example.org,001-532-710-1332x896,Holland-Bowers,Logistics and distribution manager,Website,Qualified
Jason,Young,wellison@example.net,001-882-240-4647,,,Social Media,Lost
Nicholas,Hunt,leahroberts@example.net,9239914492,Weaver LLC,,Website,Lost
