first_name,last_name,email,phone_number,company_name,job_title,lead_source,lead_status
Lauren,Phillips,tammylane@example.com,6506933596,Gutierrez LLC,Catering manager,Website,Qualified
David,Padilla,hortiz@example.net,389-765-7320,,,Website,Qualified
Jason,Liu,kyle27@example.com,(486)502-6634x82505,Blair and Sons,,Social Media,Contacted
Angela,Massey,underwoodsusan@example.com,001-410-202-5960x41239,Murray-Oconnor,,Social Media,Lost
Barbara,Garcia,alexandraeaton@example.org,001-683-459-2124x68148,,,Website,Lost
Karl,Ware,kromero@example.org,293.800.5754x51489,,,Social Media,Qualified
Katherine,Sims,jennifer52@example.com,(969)768-5951,,,Social Media,Qualified
Virginia,Peck,alambert@example.net,718.523.7449x1050,"Mcknight, King and Smith",,Referral,New
Amanda,Gonzales,margaret39@example.org,(817)738-2165,Cruz-Johnston,,Referral,Lost
Craig,Gray,yterry@example.com,939.400.7426x42614,,,Website,New
