first_name,last_name,email,phone_number,company_name,job_title,lead_source,lead_status
David,Ramos,christinaphillips@example.org,9704227429,,"Editor, commissioning",Website,Qualified
Jennifer,Daniel,anna98@example.net,545-272-2237,,,Website,New
Laura,Mendoza,cookamanda@example.net,001-954-490-9580x17497,"King, Miller and Jones","Designer, furniture",Social Media,Qualified
Joseph,Carr,daughertyveronica@example.com,438-200-2131x430,,IT consultant,Social Media,Lost
Todd,Tucker,diana57@example.com,(847)299-3460,,Medical laboratory scientific officer,Website,Lost
Martha,Ward,kingkaren@example.org,(948)891-9783,,,Referral,Contacted
Eric,Hays,latoyaklein@example.org,(237)489-1721x278,,,Website,New
Tyler,Jackson,daviskaren@example.org,+1-942-342-0472x2943,,,Website,Lost
Tyler,Tran,triley@example.net,7494733121,Clark Group,Production engineer,Website,Lost
James,Page,tnichols@example.org,767.712.3995x3579,,Occupational hygienist,Social Media,Qualified
