first_name,last_name,email,phone_number,company_name,job_title,lead_source,lead_status
Brittany,Sanchez,morrissamantha@example.org,(914)565-0511x9136,,,Website,Lost
Erik,Reed,jorge11@example.com,9852520578,Brown Ltd,,Website,Contacted
Rose,Walker,angel67@example.org,666.720.5176,,,Referral,New
Jordan,Sims,hollyhernandez@example.net,(895)381-2969x182,,Medical secretary,Social Media,Qualified
Erica,Greene,johnroberts@example.net,953.618.9318x9265,,Outdoor activities/education manager,Social Media,Lost
Morgan,Snow,sonya36@example.org,970.912.4277x7394,Perez Inc,,Referral,Qualified
Jessica,Le,frodriguez@example.com,924-307-9352x9655,"Chang, Johnston and Phillips",Chartered public finance accountant,Website,Qualified
Deanna,Rowe,rebeccarodriguez@example.org,9528154028,,Tourism officer,Website,Qualified
Kevin,Maldonado,ashleymendoza@example.org,563-637-5143,,,Website,Lost
Wendy,Norton,hwilson@example.net,(560)704-6885x2058,"Merritt, Boyd and Reed",,Referral,Lost
