first_name,last_name,email,phone_number,company_name,job_title,lead_source,lead_status
Kayla,Smith,stephaniewashington@example.net,743-594-6974,,"Education officer, community",Website,New
William,Scott,darlenecaldwell@example.com,001-912-411-5650x1205,Davis-Nash,Retail buyer,Website,New
Julie,Tran,griffithjason@example.com,001-529-319-9513,,,Referral,Contacted
Jason,Bailey,garciaashley@example.net,472-553-9068x8106,,Homeopath,Social Media,Lost
Emily,Jordan,brianna16@example.net,+1-645-279-2116,"Burton, Nelson and Sandoval",,Website,Contacted
Melissa,Tran,brian53@example.net,+1-761-486-7180x323,Johnston PLC,,Referral,New
Natalie,Sullivan,ahoffman@example.org,318-381-4601,,Secondary school teacher,Referral,Contacted
Ryan,Payne,uhale@example.org,001-917-819-3287x01646,"Fisher, Brady and Mejia",,Social Media,New
Christopher,Newton,kellyroberts@example.net,211.451.3103x617,Ball-Payne,Radiation protection practitioner,Website,Contacted
Patricia,Leon,james79@example.org,970-263-2961,,Professor Emeritus,Referral,New
