first_name,last_name,email,phone_number,company_name,job_title,lead_source,lead_status
Dawn,Khan,robertlopez@example.org,729.383.9948x6512,"Thompson, Garcia and Sanchez",Tree surgeon,Website,Contacted
John,Elliott,fmata@example.com,+1-392-581-9042,Peterson and Sons,"Surveyor, quantity",Referral,Contacted
Timothy,Warren,ryan30@example.com,836-501-6537x80860,"Thomas, Fields and Jones",Interior and spatial designer,Website,Contacted
Nicholas,Spence,reidrenee@example.net,495-339-7814x643,,,Website,Qualified
Michael,Myers,kimberly73@example.org,(579)652-7239x205,,,Referral,New
Mark,Williams,devans@example.com,933.274.1447x4411,Chavez-Jenkins,,Social Media,Lost
Dawn,Aguilar,udavenport@example.com,(448)373-1366,Walter-Gordon,,Social Media,Contacted
James,Lindsey,jhughes@example.net,001-754-834-8261,,Hydrographic surveyor,Website,New
Dustin,Tate,bradleysteven@example.org,+1-333-718-0903x913,Edwards Ltd,,Website,Lost
Donna,Murphy,shorttodd@example.com,001-660-267-3405x200,,,Referral,Lost
